City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind speed,
0,cidreira,0,BR,1520589019,92,-30.17,-50.22,62.32,6.29,
2,hobart,75,AU,1520587800,77,-42.88,147.33,62.6,9.17,
3,pevek,44,RU,1520589043,98,69.7,170.27,-8.47,29.1,
4,kodinar,0,IN,1520589075,26,20.79,70.7,95.39,5.95,
5,port alfred,0,ZA,1520589079,87,-33.59,26.89,67.76,8.75,
6,ushuaia,0,AR,1520586000,80,-54.81,-68.31,39.2,4.7,
7,mataura,0,PF,1520589088,68,-46.19,168.86,48.14,12.88,
8,rikitea,88,PF,1520589088,97,-23.12,-134.97,81.44,20.71,
9,tocopilla,20,CL,1520589090,100,-22.09,-70.2,56.06,4.27,
10,bethel,90,US,1520587020,92,60.79,-161.76,19.4,12.75,
11,hithadhoo,20,MV,1520589108,100,-0.6,73.08,84.14,15.01,
12,aykhal,44,RU,1520589043,65,65.95,111.51,1.75,8.52,
13,safakulevo,0,RU,1520589044,90,54.99,62.54,14.03,7.74,
14,cap malheureux,75,MU,1520586000,66,-19.98,57.61,84.2,11.41,
15,atuona,88,PF,1520589089,100,-9.8,-139.03,81.4,21.83,
16,mahebourg,75,MU,1520586000,66,-20.41,57.7,84.2,11.41,
17,kununurra,0,AU,1520586000,49,-15.77,128.74,93.2,4.7,
18,saint-philippe,90,RE,1520587500,92,45.36,-73.48,28.4,4.7,
22,adigeni,90,GE,1520586000,87,41.67,42.71,53.6,19.46,
23,provideniya,76,RU,1520589044,100,64.42,-173.23,6.38,23.73,
25,norman wells,5,CA,1520586000,75,65.28,-126.83,-14.81,4.38,
27,qaanaaq,44,GL,1520589126,91,77.48,-69.36,-15.54,2.82,
28,aklavik,5,CA,1520586000,65,68.22,-135.01,5,11.41,
29,gat,0,LY,1520586000,57,14.69,-16.54,77,7.18,
30,chuy,0,UY,1520589131,96,-33.69,-53.46,56.33,4.27,
31,vaini,0,TO,1520589131,34,15.34,74.49,92.69,2.82,
32,karratha,0,AU,1520589033,9,-20.74,116.85,104.21,4.16,
33,bredasdorp,68,ZA,1520586000,41,-34.53,20.04,75.2,2.24,
34,ishnya,36,RU,1520589044,86,57.19,39.36,16.78,7.74,
35,bayir,40,JO,1520587200,59,37.27,28.22,64.4,4.7,
36,tura,0,RU,1520589045,54,25.52,90.21,81.04,3.38,
37,busselton,8,AU,1520589033,94,-33.64,115.35,71.68,23.51,
38,panalingaan,44,PH,1520589132,84,8.78,117.42,81.85,9.98,
41,auki,20,SB,1520589136,29,12.18,6.51,89.36,6.4,
42,umm lajj,0,SA,1520589137,48,25.02,37.27,88.42,4.16,
44,tiksi,0,RU,1520589045,45,71.64,128.87,-28.32,3.27,
47,touros,0,BR,1520589019,93,-5.2,-35.46,77.66,7.18,
49,bonnyville,90,CA,1520586000,78,54.27,-110.74,15.8,10.29,
50,fortuna,0,US,1520587800,59,38.18,-1.13,64.4,1.12,
52,viedma,0,AR,1520589086,42,-40.81,-62.99,72.67,10.2,
53,shingu,40,JP,1520586000,60,33.72,135.99,42.8,26.4,
55,ponta do sol,92,CV,1520589144,98,-20.63,-46,67.31,3.38,
57,new norfolk,75,AU,1520587800,77,-42.78,147.06,62.6,9.17,
59,east london,20,ZA,1520586000,56,-33.02,27.91,71.6,16.11,
62,yellowknife,20,CA,1520586000,77,62.45,-114.38,-0.41,6.93,
63,san patricio,0,MX,1520589145,83,-26.98,-56.83,61.19,2.15,
64,port-gentil,40,GA,1520586000,74,-0.72,8.78,86,8.05,
66,suez,8,EG,1520589160,35,29.97,32.54,72.49,4.05,
67,punta arenas,0,CL,1520586000,100,-53.16,-70.91,37.4,6.93,
68,puerto ayora,0,EC,1520589161,100,-0.74,-90.35,75.55,5.17,
70,coquimbo,20,CL,1520586000,87,-29.95,-71.34,57.2,3.36,
72,jamestown,0,SH,1520589162,37,-33.21,138.6,78.07,10.54,
73,mandalgovi,0,MN,1520589163,76,45.76,106.27,39.64,10.42,
74,arman,24,RU,1520589046,73,59.7,150.17,-11.31,2.59,
77,klaksvik,88,FO,1520587200,86,62.23,-6.59,37.4,6.93,
78,cockburn town,0,TC,1520589165,100,21.46,-71.14,75.37,1.48,
79,khatanga,64,RU,1520589046,69,71.98,102.47,-9.91,6.29,
80,saskylakh,64,RU,1520589047,41,71.97,114.09,-13.29,14.23,
81,aksarka,32,RU,1520589047,72,66.56,67.8,-2.22,4.27,
82,college,90,US,1520585880,79,64.86,-147.8,19.4,4.7,
84,ilinskiy,0,RU,1520586000,57,55.62,38.12,24.8,11.18,
85,kaitangata,0,NZ,1520589166,76,-46.28,169.85,46.84,9.31,
88,kodiak,1,US,1520585580,63,39.95,-94.76,30.2,4.7,
90,port elizabeth,90,ZA,1520585760,63,39.31,-74.98,33.8,9.17,
94,half moon bay,75,US,1520588100,87,37.46,-122.43,53.6,10.29,
98,butaritari,8,KI,1520589173,100,3.07,172.79,82.39,11.77,
99,muroto,20,JP,1520586000,42,33.37,134.14,44.6,23.04,
100,morros,75,BR,1520586000,88,-2.87,-44.04,78.8,10.29,
101,vila franca do campo,40,PT,1520587800,71,37.72,-25.43,57.2,23.04,
104,hasaki,75,JP,1520586000,93,35.73,140.83,48.2,16.11,
105,dunedin,0,NZ,1520589166,92,-45.87,170.5,43.19,3.94,
106,saldanha,92,ZA,1520589081,98,41.42,-6.55,49.58,18.7,
108,longyearbyen,20,SJ,1520587200,59,78.22,15.63,1.4,17.22,
109,nelson bay,90,AU,1520586000,64,-32.72,152.14,71.6,9.17,
111,ribeira grande,40,PT,1520587800,54,38.52,-28.7,53.6,28.86,
112,mwanza,44,MW,1520586000,83,-2.52,32.9,76.76,7.18,
113,talnakh,76,RU,1520589048,82,69.49,88.39,9.49,12.21,
114,longyan,0,CN,1520589177,39,25.1,117.03,57.55,2.26,
115,bargi,0,IN,1520586000,25,22.99,79.88,89.6,2.24,
116,ancud,92,CL,1520589091,92,-41.87,-73.83,49.99,2.59,
117,ahipara,80,NZ,1520589167,92,-35.17,173.16,67.81,6.96,
118,cape town,20,ZA,1520586000,49,-33.93,18.42,69.8,5.82,
119,xinan,0,CN,1520586000,30,22.55,113.89,68,8.95,
120,guerrero negro,80,MX,1520589145,98,27.97,-114.04,57.37,7.96,
122,cherskiy,64,RU,1520589048,56,68.75,161.3,-19.14,4.94,
123,tuktoyaktuk,0,CA,1520586000,59,69.44,-133.03,5,14.99,
126,myitkyina,0,MM,1520589183,24,25.38,97.4,87.34,3.15,
128,nouadhibou,0,MR,1520586000,72,20.93,-17.03,66.2,11.41,
129,qandala,0,SO,1520589185,48,11.47,49.87,82.3,4.38,
131,clyde river,90,CA,1520587020,75,70.47,-68.59,-20.21,14.99,
132,ketchikan,75,US,1520587740,93,55.34,-131.65,37.4,6.93,
137,san policarpo,80,PH,1520589133,89,12.18,125.51,81.04,9.75,
139,alofi,76,NU,1520586000,94,-19.06,-169.92,77,5.82,
141,valdivia,90,CL,1520586000,100,-39.81,-73.25,57.2,2.24,
142,dombarovskiy,92,RU,1520589049,95,50.76,59.54,20.83,4.61,
146,gazanjyk,0,TM,1520589187,68,39.24,55.52,73.16,6.73,
147,aleksandrov gay,88,RU,1520589049,96,50.14,48.57,26.63,17.02,
148,kaeo,8,NZ,1520589167,92,-35.1,173.78,63.58,4.72,
149,abha,0,SA,1520586000,11,18.22,42.5,78.8,2.93,
150,bluff,68,NZ,1520589168,42,-23.58,149.07,81.76,11.99,
155,georgetown,92,SH,1520589142,76,6.8,-58.16,78.38,7.18,
156,mareeba,75,AU,1520587800,94,-16.99,145.42,75.2,12.75,
158,berdigestyakh,0,RU,1520589050,38,62.1,126.7,-11.71,4.83,
160,kruisfontein,80,ZA,1520589081,82,-34,24.73,63.08,4.61,
164,castro,92,CL,1520589092,98,-42.48,-73.76,49.04,3.27,
166,labuhan,32,ID,1520589154,85,-2.54,115.51,81.08,3.38,
167,pachino,20,IT,1520585400,82,36.72,15.09,55.4,2.24,
168,iqaluit,90,CA,1520586000,84,63.75,-68.52,8.6,10.29,
170,lashio,0,MM,1520589183,27,22.93,97.75,85.09,2.93,
173,hilo,90,US,1520588520,82,19.71,-155.08,68,5.82,
174,barrow,0,US,1520589097,48,-38.31,-60.23,63.08,10.2,
175,morehead,90,PG,1520585580,53,38.18,-83.43,26.6,4.7,
181,antsohihy,92,MG,1520589031,100,-14.88,47.99,78.88,7.07,
183,coos bay,90,US,1520587200,100,43.37,-124.22,46.4,4.38,
187,riyadh,0,SA,1520589089,19,24.63,46.72,90.89,6.62,
189,margate,75,ZA,1520587800,77,-43.03,147.26,62.6,9.17,
191,hermanus,56,ZA,1520589082,59,-34.42,19.24,65.65,2.93,
193,zhezkazgan,90,KZ,1520586000,95,47.8,67.71,32,8.95,
196,nikolskoye,75,RU,1520586000,74,59.7,30.79,28.4,11.18,
197,atar,0,MR,1520586000,33,20.52,-13.05,77,10.29,
198,berlin,75,US,1520587200,65,52.52,13.39,44.6,19.46,
200,bud,90,NO,1520587200,100,62.91,6.91,35.6,4.7,
201,christchurch,92,NZ,1520586000,76,-43.53,172.64,53.6,4.7,
202,thompson,5,CA,1520586000,76,55.74,-97.86,-7.61,1.36,
204,cabedelo,75,BR,1520586000,94,-6.97,-34.84,75.2,8.75,
206,albany,90,AU,1520587080,58,42.65,-73.75,28.4,9.17,
207,arraial do cabo,75,BR,1520586000,94,-22.97,-42.02,75.2,10.31,
208,rawson,8,AR,1520588887,45,-43.3,-65.11,66.1,9.64,
209,kapaa,75,US,1520585760,68,22.08,-159.32,68,21.92,
210,katsuura,40,JP,1520586000,59,33.93,134.5,37.4,10.29,
214,codrington,92,AG,1520589197,93,-28.95,153.24,65.92,6.96,
216,burgersdorp,0,ZA,1520589082,69,-30.99,26.32,57.23,4.16,
217,vostok,0,RU,1520589050,49,46.45,135.83,8.32,5.73,
219,pangnirtung,56,CA,1520589119,65,66.15,-65.72,-0.19,5.61,
220,nome,1,US,1520586900,81,30.04,-94.42,46.4,3.36,
221,ariquemes,92,BR,1520589021,94,-9.91,-63.03,75.41,2.15,
222,milford,90,US,1520588100,58,40.77,-97.05,30.2,10.29,
224,urusha,0,RU,1520589051,43,54.05,122.9,7.87,2.59,
226,brae,40,GB,1520587200,93,60.4,-1.35,41,12.75,
234,yefremov,76,RU,1520589051,98,53.14,38.12,18.22,9.98,
235,araouane,0,ML,1520589200,20,18.9,-3.53,79.42,5.5,
236,sayula,0,MX,1520589146,87,19.88,-103.6,46.84,1.14,
237,meulaboh,44,ID,1520589154,100,4.14,96.13,80.36,6.85,
240,vrangel,0,RU,1520589052,100,42.73,133.08,26.09,18.81,
241,cacoal,92,BR,1520589021,94,-11.43,-61.44,74.24,2.04,
242,savalou,12,BJ,1520589200,73,7.93,1.98,84.86,11.21,
243,imuris,36,MX,1520589146,52,30.78,-110.86,49.04,0.81,
246,bondo,0,CD,1520589201,59,3.81,23.69,88.87,2.93,
249,storforshei,0,NO,1520585400,49,66.4,14.52,26.6,9.17,
251,manakara,0,MG,1520589031,95,-22.14,48.01,83.74,7.18,
253,port lincoln,0,AU,1520589035,51,-34.72,135.86,80.54,10.42,
254,mporokoso,12,ZM,1520589202,94,-9.37,30.12,75.41,9.19,
256,marzuq,0,LY,1520589129,11,14.4,46.47,82.03,7.4,
260,salalah,0,OM,1520585400,48,17.01,54.1,84.2,13.87,
261,pestovo,0,RU,1520586000,57,55.36,37.98,23,11.18,
262,ramhormoz,0,IR,1520589204,64,31.28,49.6,75.86,3.27,
263,saint-pierre,90,PM,1520587800,81,48.95,4.24,48.2,5.82,
266,caravelas,88,BR,1520589021,100,-17.73,-39.27,81.31,19.15,
267,avarua,75,CK,1520586000,94,-21.21,-159.78,77,4.7,
268,noshiro,75,JP,1520586000,100,40.21,140.05,35.6,14.99,
269,anito,88,PH,1520589133,95,12.45,125.29,82.61,12.21,
272,weihe,0,CN,1520589178,44,32.99,105.33,57.19,3.83,
273,abrau-dyurso,90,RU,1520586000,93,44.7,37.6,35.6,11.18,
274,orlandia,0,BR,1520586000,94,-20.72,-47.89,69.8,5.82,
277,carnarvon,24,AU,1520589036,39,-30.97,22.13,65.38,6.73,
278,zhigansk,24,RU,1520589053,45,66.77,123.37,-15,7.96,
280,dikson,8,RU,1520589053,88,73.51,80.55,-9.96,16.46,
281,sorland,0,NO,1520587200,67,67.67,12.69,28.4,3.36,
282,waddan,0,LY,1520589129,31,29.16,16.14,73.93,13.67,
289,ranong,20,TH,1520589207,90,9.96,98.62,86.71,9.08,
296,teya,75,RU,1520585280,73,21.05,-89.07,69.8,6.93,
298,takaka,36,NZ,1520589168,92,-40.86,172.81,61.6,8.97,
301,nador,0,MA,1520587800,72,35.17,-2.93,66.2,1.12,
302,umtata,20,ZA,1520586000,49,-31.59,28.78,68,8.05,
303,kashan,12,IR,1520589204,17,33.99,51.44,80.81,15.79,
304,conde,56,BR,1520589022,97,-11.81,-37.61,78.61,9.64,
306,yar-sale,44,RU,1520589054,99,66.83,70.83,-0.24,3.04,
